,MoGAN1,MoGAN2,Random W1,Random W 2,Random1,Random2,delta1,delta2,delta3,delta4
NYCBike,0.06,0.08,0.25,0.43,0.83,0.83,77%,81%,93%,90%
NYCTaxi,0.05,0.09,0.08,0.25,0.83,0.83,40%,63%,94%,89%
CHIBike,0.06,0.11,0.21,0.53,0.83,0.76,72%,80%,93%,86%
CHITaxi,0.07,0.08,0.13,0.26,0.83,0.83,42%,70%,91%,91%
