5 6 {'weight': 2}
5 12 {'weight': 8}
5 13 {'weight': 24}
5 14 {'weight': 12}
5 15 {'weight': 20}
5 17 {'weight': 7}
5 19 {'weight': 9}
5 20 {'weight': 14}
5 21 {'weight': 32}
5 22 {'weight': 64}
5 23 {'weight': 10}
5 24 {'weight': 2}
5 27 {'weight': 3}
5 28 {'weight': 10}
5 29 {'weight': 7}
5 30 {'weight': 36}
5 32 {'weight': 4}
5 33 {'weight': 1}
5 39 {'weight': 1}
5 40 {'weight': 2}
6 5 {'weight': 6}
6 6 {'weight': 127}
6 12 {'weight': 176}
6 13 {'weight': 727}
6 14 {'weight': 494}
6 15 {'weight': 498}
6 17 {'weight': 65}
6 18 {'weight': 60}
6 19 {'weight': 505}
6 20 {'weight': 425}
6 21 {'weight': 566}
6 22 {'weight': 631}
6 23 {'weight': 97}
6 24 {'weight': 45}
6 27 {'weight': 49}
6 28 {'weight': 120}
6 29 {'weight': 106}
6 30 {'weight': 474}
6 31 {'weight': 49}
6 32 {'weight': 46}
6 33 {'weight': 41}
6 34 {'weight': 9}
6 38 {'weight': 53}
6 39 {'weight': 81}
6 40 {'weight': 77}
6 42 {'weight': 7}
6 43 {'weight': 3}
6 49 {'weight': 10}
6 51 {'weight': 6}
6 53 {'weight': 2}
6 54 {'weight': 1}
6 60 {'weight': 1}
12 5 {'weight': 1}
12 6 {'weight': 144}
12 12 {'weight': 49}
12 13 {'weight': 469}
12 14 {'weight': 291}
12 15 {'weight': 259}
12 17 {'weight': 40}
12 18 {'weight': 72}
12 19 {'weight': 653}
12 20 {'weight': 291}
12 21 {'weight': 317}
12 22 {'weight': 236}
12 23 {'weight': 45}
12 24 {'weight': 18}
12 27 {'weight': 45}
12 28 {'weight': 126}
12 29 {'weight': 58}
12 30 {'weight': 230}
12 31 {'weight': 30}
12 32 {'weight': 13}
12 33 {'weight': 28}
12 34 {'weight': 6}
12 38 {'weight': 38}
12 39 {'weight': 61}
12 40 {'weight': 62}
12 42 {'weight': 4}
12 43 {'weight': 6}
12 49 {'weight': 4}
12 51 {'weight': 2}
12 53 {'weight': 1}
12 57 {'weight': 1}
13 5 {'weight': 14}
13 6 {'weight': 724}
13 12 {'weight': 503}
13 13 {'weight': 875}
13 14 {'weight': 1280}
13 15 {'weight': 1602}
13 17 {'weight': 136}
13 18 {'weight': 117}
13 19 {'weight': 1245}
13 20 {'weight': 1757}
13 21 {'weight': 1488}
13 22 {'weight': 1108}
13 23 {'weight': 252}
13 24 {'weight': 130}
13 27 {'weight': 147}
13 28 {'weight': 279}
13 29 {'weight': 186}
13 30 {'weight': 1191}
13 31 {'weight': 238}
13 32 {'weight': 95}
13 33 {'weight': 127}
13 34 {'weight': 26}
13 38 {'weight': 75}
13 39 {'weight': 212}
13 40 {'weight': 257}
13 42 {'weight': 16}
13 43 {'weight': 15}
13 49 {'weight': 16}
13 51 {'weight': 19}
13 53 {'weight': 17}
13 54 {'weight': 6}
13 57 {'weight': 3}
13 60 {'weight': 4}
14 5 {'weight': 8}
14 6 {'weight': 393}
14 12 {'weight': 230}
14 13 {'weight': 1195}
14 14 {'weight': 106}
14 15 {'weight': 720}
14 17 {'weight': 129}
14 18 {'weight': 50}
14 19 {'weight': 952}
14 20 {'weight': 806}
14 21 {'weight': 835}
14 22 {'weight': 711}
14 23 {'weight': 191}
14 24 {'weight': 88}
14 27 {'weight': 71}
14 28 {'weight': 136}
14 29 {'weight': 86}
14 30 {'weight': 594}
14 31 {'weight': 130}
14 32 {'weight': 48}
14 33 {'weight': 92}
14 34 {'weight': 12}
14 38 {'weight': 48}
14 39 {'weight': 131}
14 40 {'weight': 178}
14 42 {'weight': 11}
14 43 {'weight': 11}
14 49 {'weight': 7}
14 51 {'weight': 5}
14 53 {'weight': 11}
14 54 {'weight': 4}
14 57 {'weight': 1}
14 60 {'weight': 3}
15 5 {'weight': 11}
15 6 {'weight': 449}
15 12 {'weight': 227}
15 13 {'weight': 1621}
15 14 {'weight': 819}
15 15 {'weight': 943}
15 17 {'weight': 417}
15 18 {'weight': 56}
15 19 {'weight': 1119}
15 20 {'weight': 1254}
15 21 {'weight': 1319}
15 22 {'weight': 2172}
15 23 {'weight': 670}
15 24 {'weight': 339}
15 27 {'weight': 90}
15 28 {'weight': 277}
15 29 {'weight': 181}
15 30 {'weight': 1458}
15 31 {'weight': 269}
15 32 {'weight': 130}
15 33 {'weight': 342}
15 34 {'weight': 57}
15 38 {'weight': 97}
15 39 {'weight': 238}
15 40 {'weight': 382}
15 42 {'weight': 43}
15 43 {'weight': 41}
15 49 {'weight': 20}
15 51 {'weight': 28}
15 53 {'weight': 25}
15 54 {'weight': 14}
15 57 {'weight': 2}
