date,lat,lon,ind
2019-10-19,41.902788048,-87.62614559,7108017
2019-10-19,41.902788048,-87.62614559,7108017
2019-10-19,41.899602111,-87.633308037,7108018
2019-10-19,41.92276062,-87.699155343,7108018
2019-10-19,41.892042136,-87.63186395,7108019
2019-10-19,41.899155613,-87.626210532,7108019
2019-10-19,41.97907082,-87.903039661,7108020
2019-10-19,41.859349715,-87.617358006,7108020
2019-10-19,41.899155613,-87.626210532,7108021
2019-10-19,41.89321636,-87.63784421,7108021
2019-10-19,41.88528132,-87.6572332,7108022
2019-10-19,41.884987192,-87.620992913,7108022
2019-10-19,41.980264315,-87.913624596,7108023
2019-10-19,41.938666196,-87.711210593,7108023
2019-10-19,41.892042136,-87.63186395,7108024
2019-10-19,41.899155613,-87.626210532,7108024
2019-10-19,41.892507781,-87.626214906,7108025
2019-10-19,41.880994471,-87.632746489,7108025
2019-10-19,41.890922026,-87.618868355,7108026
2019-10-19,41.911972301,-87.683642922,7108026
2019-10-19,41.942691844,-87.651770507,7108027
2019-10-19,41.89967018,-87.669837798,7108027
2019-10-19,41.878865584,-87.625192142,7108028
2019-10-19,41.874005383,-87.66351755,7108028
2019-10-19,41.878865584,-87.625192142,7108029
2019-10-19,41.901206994,-87.676355989,7108029
2019-10-19,41.892507781,-87.626214906,7108030
2019-10-19,41.914616286,-87.631717366,7108030
2019-10-19,41.890922026,-87.618868355,7108031
2019-10-19,41.859349715,-87.617358006,7108031
2019-10-19,41.892042136,-87.63186395,7108032
2019-10-19,41.877406123,-87.621971652,7108032
2019-10-19,41.899155613,-87.626210532,7108033
2019-10-19,41.877406123,-87.621971652,7108033
2019-10-19,41.874005383,-87.66351755,7108034
2019-10-19,41.922686284,-87.649488729,7108034
2019-10-19,41.88528132,-87.6572332,7108035
2019-10-19,41.880994471,-87.632746489,7108035
2019-10-19,41.874005383,-87.66351755,7108036
2019-10-19,41.874005383,-87.66351755,7108036
2019-10-19,41.901206994,-87.676355989,7108037
2019-10-19,41.978829526,-87.771166703,7108037
2019-10-19,41.944226601,-87.655998182,7108038
2019-10-19,41.947791586,-87.683834942,7108038
2019-10-19,41.877406123,-87.621971652,7108039
2019-10-19,41.892507781,-87.626214906,7108039
2019-10-19,41.892072635,-87.628874157,7108040
2019-10-19,41.879255084,-87.642648998,7108040
2019-10-19,41.980264315,-87.913624596,7108041
2019-10-19,41.985015101,-87.804532006,7108041
2019-10-19,41.944226601,-87.655998182,7108042
2019-10-19,41.944226601,-87.655998182,7108042
2019-10-19,41.97907082,-87.903039661,7108043
2019-10-19,41.892507781,-87.626214906,7108043
2019-10-19,41.850266366,-87.667569312,7108044
2019-10-19,41.842076117,-87.633973422,7108044
2019-10-19,41.980264315,-87.913624596,7108045
2019-10-19,41.79259236,-87.769615453,7108045
2019-10-19,41.899602111,-87.633308037,7108046
2019-10-19,41.922686284,-87.649488729,7108046
2019-10-19,41.899602111,-87.633308037,7108047
2019-10-19,41.944226601,-87.655998182,7108047
2019-10-19,42.009622881,-87.670166857,7108048
2019-10-19,41.96581197,-87.655878786,7108048
2019-10-19,41.79259236,-87.769615453,7108049
