date,lat,lon,ind
2019-09-25,41.857183858,-87.620334624,6505588
2019-09-25,41.96581197,-87.655878786,6505588
2019-09-25,41.874005383,-87.66351755,6505589
2019-09-25,41.899602111,-87.633308037,6505589
2019-09-25,41.907520075,-87.6266589,6505590
2019-09-25,41.892507781,-87.626214906,6505590
2019-09-25,41.944226601,-87.655998182,6505591
2019-09-25,41.878865584,-87.625192142,6505591
2019-09-25,41.884987192,-87.620992913,6505592
2019-09-25,41.885300022,-87.642808466,6505592
2019-09-25,41.899602111,-87.633308037,6505593
2019-09-25,41.874005383,-87.66351755,6505593
2019-09-25,41.96581197,-87.655878786,6505594
2019-09-25,41.975170943,-87.687515515,6505594
2019-09-25,41.870607372,-87.622172937,6505595
2019-09-25,41.892042136,-87.63186395,6505595
2019-09-25,41.892507781,-87.626214906,6505596
2019-09-25,41.97907082,-87.903039661,6505596
2019-09-25,41.922686284,-87.649488729,6505597
2019-09-25,41.878865584,-87.625192142,6505597
2019-09-25,41.96581197,-87.655878786,6505598
2019-09-25,41.899602111,-87.633308037,6505598
2019-09-25,41.944226601,-87.655998182,6505599
2019-09-25,41.899602111,-87.633308037,6505599
2019-09-25,41.901206994,-87.676355989,6505600
2019-09-25,41.878865584,-87.625192142,6505600
2019-09-25,41.892072635,-87.628874157,6505601
2019-09-25,41.892072635,-87.628874157,6505601
2019-09-25,41.859349715,-87.617358006,6505602
2019-09-25,41.892072635,-87.628874157,6505602
2019-09-25,41.938666196,-87.711210593,6505603
2019-09-25,41.899602111,-87.633308037,6505603
2019-09-25,41.892042136,-87.63186395,6505604
2019-09-25,41.880994471,-87.632746489,6505604
2019-09-25,41.96581197,-87.655878786,6505605
2019-09-25,41.9867118,-87.663416405,6505605
2019-09-25,41.870607372,-87.622172937,6505606
2019-09-25,41.890922026,-87.618868355,6505606
2019-09-25,41.914616286,-87.631717366,6505607
2019-09-25,41.892072635,-87.628874157,6505607
2019-09-25,41.892042136,-87.63186395,6505608
2019-09-25,41.885300022,-87.642808466,6505608
2019-09-25,41.914616286,-87.631717366,6505609
2019-09-25,41.880994471,-87.632746489,6505609
2019-09-25,41.89321636,-87.63784421,6505610
2019-09-25,41.88528132,-87.6572332,6505610
2019-09-25,41.880994471,-87.632746489,6505611
2019-09-25,41.892042136,-87.63186395,6505611
2019-09-25,41.874005383,-87.66351755,6505612
2019-09-25,41.899602111,-87.633308037,6505612
2019-09-25,41.899602111,-87.633308037,6505613
2019-09-25,41.878865584,-87.625192142,6505613
2019-09-25,41.859349715,-87.617358006,6505614
2019-09-25,41.880994471,-87.632746489,6505614
2019-09-25,42.009622881,-87.670166857,6505615
2019-09-25,41.899602111,-87.633308037,6505615
2019-09-25,41.880994471,-87.632746489,6505616
2019-09-25,41.785998518,-87.750934289,6505616
2019-09-25,41.859349715,-87.617358006,6505617
2019-09-25,41.884987192,-87.620992913,6505617
2019-09-25,41.980264315,-87.913624596,6505618
2019-09-25,41.944226601,-87.655998182,6505618
2019-09-25,41.877406123,-87.621971652,6505619
2019-09-25,41.884987192,-87.620992913,6505619
2019-09-25,41.880994471,-87.632746489,6505620
2019-09-25,41.785998518,-87.750934289,6505620
2019-09-25,41.892042136,-87.63186395,6505621
2019-09-25,41.97907082,-87.903039661,6505621
2019-09-25,41.870607372,-87.622172937,6505622
2019-09-25,41.892042136,-87.63186395,6505622
2019-09-25,41.899602111,-87.633308037,6505623
2019-09-25,41.980264315,-87.913624596,6505623
2019-09-25,41.907520075,-87.6266589,6505624
2019-09-25,41.880994471,-87.632746489,6505624
2019-09-25,41.859349715,-87.617358006,6505625
2019-09-25,41.89503345,-87.619710672,6505625
2019-09-25,41.901206994,-87.676355989,6505626
2019-09-25,41.944226601,-87.655998182,6505626
2019-09-25,41.899602111,-87.633308037,6505627
2019-09-25,41.878865584,-87.625192142,6505627
2019-09-25,41.899602111,-87.633308037,6505628
2019-09-25,41.899602111,-87.633308037,6505628
2019-09-25,41.899602111,-87.633308037,6505629
2019-09-25,41.878865584,-87.625192142,6505629
2019-09-25,41.878865584,-87.625192142,6505630
2019-09-25,41.899602111,-87.633308037,6505630
2019-09-25,41.890922026,-87.618868355,6505631
2019-09-25,41.97907082,-87.903039661,6505631
2019-09-25,41.899602111,-87.633308037,6505632
2019-09-25,41.878865584,-87.625192142,6505632
2019-09-25,41.954027649,-87.763399032,6505633
2019-09-25,41.899602111,-87.633308037,6505633
2019-09-25,41.899155613,-87.626210532,6505634
2019-09-25,41.885300022,-87.642808466,6505634
2019-09-25,41.880994471,-87.632746489,6505635
2019-09-25,41.890922026,-87.618868355,6505635
2019-09-25,41.717493036,-87.648895072,6505636
2019-09-25,41.901206994,-87.676355989,6505636
2019-09-25,41.892042136,-87.63186395,6505637
2019-09-25,41.892042136,-87.63186395,6505637
2019-09-25,41.944226601,-87.655998182,6505638
2019-09-25,41.899602111,-87.633308037,6505638
2019-09-25,41.878865584,-87.625192142,6505639
2019-09-25,41.899602111,-87.633308037,6505639
2019-09-25,41.89321636,-87.63784421,6505640
2019-09-25,41.880994471,-87.632746489,6505640
2019-09-25,41.922686284,-87.649488729,6505641
2019-09-25,41.878865584,-87.625192142,6505641
2019-09-25,41.859349715,-87.617358006,6505642
2019-09-25,41.899155613,-87.626210532,6505642
2019-09-25,41.899602111,-87.633308037,6505643
2019-09-25,41.878865584,-87.625192142,6505643
2019-09-25,42.004517488,-87.663327859,6505644
2019-09-25,41.97907082,-87.903039661,6505644
2019-09-25,41.901206994,-87.676355989,6505645
2019-09-25,41.899602111,-87.633308037,6505645
