date,lat,lon,ind
2019-11-19,41.922686284,-87.649488729,7848185
2019-11-19,41.878865584,-87.625192142,7848185
2019-11-19,41.899602111,-87.633308037,7848186
2019-11-19,41.857183858,-87.620334624,7848186
2019-11-19,41.97907082,-87.903039661,7848187
2019-11-19,41.892042136,-87.63186395,7848187
2019-11-19,41.899602111,-87.633308037,7848188
2019-11-19,41.899602111,-87.633308037,7848188
2019-11-19,41.90749193,-87.63576009,7848189
2019-11-19,41.884987192,-87.620992913,7848189
2019-11-19,41.944226601,-87.655998182,7848190
2019-11-19,41.874005383,-87.66351755,7848190
2019-11-19,41.878865584,-87.625192142,7848191
2019-11-19,41.878865584,-87.625192142,7848191
2019-11-19,41.980264315,-87.913624596,7848192
2019-11-19,41.899602111,-87.633308037,7848192
2019-11-19,41.899602111,-87.633308037,7848193
2019-11-19,41.857183858,-87.620334624,7848193
2019-11-19,41.874005383,-87.66351755,7848194
2019-11-19,41.96581197,-87.655878786,7848194
2019-11-19,41.899602111,-87.633308037,7848195
2019-11-19,41.878865584,-87.625192142,7848195
2019-11-19,41.899602111,-87.633308037,7848196
2019-11-19,41.899602111,-87.633308037,7848196
2019-11-19,41.690633347,-87.570058269,7848197
2019-11-19,41.775928827,-87.666596265,7848197
2019-11-19,41.892507781,-87.626214906,7848198
2019-11-19,41.97907082,-87.903039661,7848198
2019-11-19,41.880994471,-87.632746489,7848199
2019-11-19,41.892072635,-87.628874157,7848199
2019-11-19,41.874005383,-87.66351755,7848200
2019-11-19,41.874005383,-87.66351755,7848200
2019-11-19,41.901206994,-87.676355989,7848201
2019-11-19,41.899602111,-87.633308037,7848201
2019-11-19,42.007612593,-87.813781034,7848202
2019-11-19,41.978829526,-87.771166703,7848202
2019-11-19,41.892072635,-87.628874157,7848203
2019-11-19,41.905857769,-87.630865027,7848203
2019-11-19,41.859349715,-87.617358006,7848204
2019-11-19,41.892507781,-87.626214906,7848204
2019-11-19,41.944226601,-87.655998182,7848205
2019-11-19,41.944226601,-87.655998182,7848205
2019-11-19,41.892507781,-87.626214906,7848206
2019-11-19,41.884987192,-87.620992913,7848206
2019-11-19,41.880994471,-87.632746489,7848207
2019-11-19,41.892042136,-87.63186395,7848207
2019-11-19,41.901206994,-87.676355989,7848208
2019-11-19,41.92276062,-87.699155343,7848208
2019-11-19,41.980264315,-87.913624596,7848209
2019-11-19,41.980264315,-87.913624596,7848209
2019-11-19,41.878865584,-87.625192142,7848210
2019-11-19,41.944226601,-87.655998182,7848210
2019-11-19,41.878865584,-87.625192142,7848211
2019-11-19,41.938666196,-87.711210593,7848211
2019-11-19,41.922686284,-87.649488729,7848212
2019-11-19,41.899602111,-87.633308037,7848212
2019-11-19,41.857183858,-87.620334624,7848213
2019-11-19,41.878865584,-87.625192142,7848213
2019-11-19,41.899602111,-87.633308037,7848214
2019-11-19,41.878865584,-87.625192142,7848214
2019-11-19,41.980264315,-87.913624596,7848215
2019-11-19,41.808916283,-87.596183344,7848215
2019-11-19,41.892658108,-87.652534484,7848216
2019-11-19,41.88528132,-87.6572332,7848216
2019-11-19,41.953582125,-87.72345239,7848217
2019-11-19,41.953582125,-87.72345239,7848217
2019-11-19,41.878914496,-87.70589713,7848218
2019-11-19,41.874005383,-87.66351755,7848218
2019-11-19,41.980264315,-87.913624596,7848219
2019-11-19,41.980264315,-87.913624596,7848219
2019-11-19,41.874005383,-87.66351755,7848220
2019-11-19,41.899602111,-87.633308037,7848220
2019-11-19,41.880994471,-87.632746489,7848221
2019-11-19,41.902788048,-87.62614559,7848221
2019-11-19,41.978829526,-87.771166703,7848222
2019-11-19,41.978829526,-87.771166703,7848222
2019-11-19,41.884987192,-87.620992913,7848223
2019-11-19,41.880994471,-87.632746489,7848223
2019-11-19,41.944226601,-87.655998182,7848224
2019-11-19,41.938666196,-87.711210593,7848224
2019-11-19,41.899602111,-87.633308037,7848225
2019-11-19,41.901206994,-87.676355989,7848225
2019-11-19,41.905857769,-87.630865027,7848226
2019-11-19,41.892042136,-87.63186395,7848226
2019-11-19,41.980264315,-87.913624596,7848227
2019-11-19,41.980264315,-87.913624596,7848227
2019-11-19,41.97907082,-87.903039661,7848228
2019-11-19,41.97907082,-87.903039661,7848228
2019-11-19,41.980264315,-87.913624596,7848229
2019-11-19,41.92276062,-87.699155343,7848229
2019-11-19,41.763246799,-87.616134111,7848230
2019-11-19,41.79259236,-87.769615453,7848230
2019-11-19,41.97907082,-87.903039661,7848231
2019-11-19,41.884987192,-87.620992913,7848231
2019-11-19,41.899602111,-87.633308037,7848232
2019-11-19,41.980264315,-87.913624596,7848232
2019-11-19,41.884987192,-87.620992913,7848233
2019-11-19,41.902788048,-87.62614559,7848233
2019-11-19,41.954027649,-87.763399032,7848234
2019-11-19,41.980264315,-87.913624596,7848234
2019-11-19,41.874005383,-87.66351755,7848235
2019-11-19,41.899602111,-87.633308037,7848235
2019-11-19,41.901206994,-87.676355989,7848236
2019-11-19,41.878865584,-87.625192142,7848236
2019-11-19,41.899602111,-87.633308037,7848237
2019-11-19,41.975170943,-87.687515515,7848237
2019-11-19,41.97907082,-87.903039661,7848238
2019-11-19,41.884987192,-87.620992913,7848238
2019-11-19,41.884987192,-87.620992913,7848239
2019-11-19,41.884987192,-87.620992913,7848239
2019-11-19,41.785998518,-87.750934289,7848240
2019-11-19,41.884987192,-87.620992913,7848240
2019-11-19,41.993930128,-87.758353588,7848241
2019-11-19,41.980264315,-87.913624596,7848241
2019-11-19,41.97907082,-87.903039661,7848242
2019-11-19,41.88528132,-87.6572332,7848242
2019-11-19,41.899602111,-87.633308037,7848243
2019-11-19,41.901206994,-87.676355989,7848243
2019-11-19,41.878865584,-87.625192142,7848244
2019-11-19,41.857183858,-87.620334624,7848244
2019-11-19,41.96581197,-87.655878786,7848245
2019-11-19,41.878865584,-87.625192142,7848245
2019-11-19,41.878865584,-87.625192142,7848246
2019-11-19,41.944226601,-87.655998182,7848246
2019-11-19,41.922686284,-87.649488729,7848247
2019-11-19,41.944226601,-87.655998182,7848247
2019-11-19,41.922686284,-87.649488729,7848248
2019-11-19,41.878865584,-87.625192142,7848248
2019-11-19,41.878865584,-87.625192142,7848249
2019-11-19,41.899602111,-87.633308037,7848249
2019-11-19,42.001571027,-87.695012589,7848250
2019-11-19,41.878865584,-87.625192142,7848250
2019-11-19,41.980264315,-87.913624596,7848251
2019-11-19,41.944226601,-87.655998182,7848251
2019-11-19,41.878865584,-87.625192142,7848252
2019-11-19,41.980264315,-87.913624596,7848252
2019-11-19,41.953582125,-87.72345239,7848253
2019-11-19,41.878865584,-87.625192142,7848253
2019-11-19,41.874005383,-87.66351755,7848254
2019-11-19,41.899602111,-87.633308037,7848254
2019-11-19,41.97907082,-87.903039661,7848255
2019-11-19,41.879066994,-87.657005027,7848255
2019-11-19,41.978829526,-87.771166703,7848256
2019-11-19,41.954027649,-87.763399032,7848256
2019-11-19,41.79259236,-87.769615453,7848257
2019-11-19,41.835117986,-87.618677767,7848257
2019-11-19,41.899602111,-87.633308037,7848258
2019-11-19,41.944226601,-87.655998182,7848258
2019-11-19,41.97907082,-87.903039661,7848259
2019-11-19,41.879066994,-87.657005027,7848259
2019-11-19,41.944226601,-87.655998182,7848260
2019-11-19,41.878865584,-87.625192142,7848260
2019-11-19,41.9867118,-87.663416405,7848261
2019-11-19,41.980264315,-87.913624596,7848261
2019-11-19,41.947791586,-87.683834942,7848262
2019-11-19,41.975170943,-87.687515515,7848262
2019-11-19,41.89321636,-87.63784421,7848263
2019-11-19,41.97907082,-87.903039661,7848263
2019-11-19,41.978829526,-87.771166703,7848264
2019-11-19,41.978829526,-87.771166703,7848264
2019-11-19,41.878865584,-87.625192142,7848265
2019-11-19,41.980264315,-87.913624596,7848265
2019-11-19,41.890922026,-87.618868355,7848266
2019-11-19,41.97907082,-87.903039661,7848266
