date,lat,lon,ind
2019-06-11,41.88528132,-87.6572332,3948901
2019-06-11,41.892507781,-87.626214906,3948901
2019-06-11,41.884987192,-87.620992913,3948902
2019-06-11,41.900221297,-87.629105186,3948902
2019-06-11,41.899602111,-87.633308037,3948903
2019-06-11,41.901206994,-87.676355989,3948903
2019-06-11,41.850266366,-87.667569312,3948904
2019-06-11,41.874005383,-87.66351755,3948904
2019-06-11,41.88528132,-87.6572332,3948905
2019-06-11,41.884987192,-87.620992913,3948905
2019-06-11,41.878865584,-87.625192142,3948906
2019-06-11,41.96581197,-87.655878786,3948906
2019-06-11,41.978829526,-87.771166703,3948907
2019-06-11,41.985015101,-87.804532006,3948907
2019-06-11,41.878865584,-87.625192142,3948908
2019-06-11,41.975170943,-87.687515515,3948908
2019-06-11,41.879255084,-87.642648998,3948909
2019-06-11,41.890922026,-87.618868355,3948909
2019-06-11,41.899602111,-87.633308037,3948910
2019-06-11,41.947791586,-87.683834942,3948910
2019-06-11,41.88528132,-87.6572332,3948911
2019-06-11,41.890922026,-87.618868355,3948911
2019-06-11,41.892042136,-87.63186395,3948912
2019-06-11,41.884987192,-87.620992913,3948912
2019-06-11,41.880994471,-87.632746489,3948913
2019-06-11,41.934659157,-87.646729729,3948913
2019-06-11,41.877406123,-87.621971652,3948914
2019-06-11,41.898331794,-87.620762865,3948914
2019-06-11,41.901206994,-87.676355989,3948915
2019-06-11,41.922686284,-87.649488729,3948915
2019-06-11,41.899602111,-87.633308037,3948916
2019-06-11,41.878865584,-87.625192142,3948916
2019-06-11,41.88528132,-87.6572332,3948917
2019-06-11,41.892042136,-87.63186395,3948917
2019-06-11,41.980264315,-87.913624596,3948918
2019-06-11,41.944226601,-87.655998182,3948918
2019-06-11,41.892042136,-87.63186395,3948919
2019-06-11,41.902788048,-87.62614559,3948919
2019-06-11,41.899602111,-87.633308037,3948920
2019-06-11,41.857183858,-87.620334624,3948920
2019-06-11,41.97907082,-87.903039661,3948921
2019-06-11,41.890922026,-87.618868355,3948921
2019-06-11,41.88528132,-87.6572332,3948922
2019-06-11,41.884987192,-87.620992913,3948922
2019-06-11,41.97907082,-87.903039661,3948923
2019-06-11,41.892507781,-87.626214906,3948923
2019-06-11,41.857183858,-87.620334624,3948924
2019-06-11,41.878865584,-87.625192142,3948924
2019-06-11,41.97907082,-87.903039661,3948925
2019-06-11,41.982775009,-87.8773054,3948925
2019-06-11,41.878865584,-87.625192142,3948926
2019-06-11,41.922686284,-87.649488729,3948926
2019-06-11,41.980264315,-87.913624596,3948927
2019-06-11,41.985015101,-87.804532006,3948927
2019-06-11,41.899155613,-87.626210532,3948928
2019-06-11,41.892658108,-87.652534484,3948928
2019-06-11,41.978829526,-87.771166703,3948929
2019-06-11,41.954027649,-87.763399032,3948929
2019-06-11,41.892507781,-87.626214906,3948930
2019-06-11,41.907520075,-87.6266589,3948930
2019-06-11,41.878865584,-87.625192142,3948931
2019-06-11,42.001571027,-87.695012589,3948931
2019-06-11,41.97907082,-87.903039661,3948932
2019-06-11,41.892507781,-87.626214906,3948932
2019-06-11,41.97907082,-87.903039661,3948933
2019-06-11,41.89503345,-87.619710672,3948933
2019-06-11,41.922686284,-87.649488729,3948934
2019-06-11,41.92276062,-87.699155343,3948934
2019-06-11,41.892658108,-87.652534484,3948935
2019-06-11,41.892507781,-87.626214906,3948935
2019-06-11,41.97907082,-87.903039661,3948936
2019-06-11,41.88528132,-87.6572332,3948936
2019-06-11,41.878865584,-87.625192142,3948937
2019-06-11,41.92276062,-87.699155343,3948937
2019-06-11,41.884987192,-87.620992913,3948938
2019-06-11,41.89503345,-87.619710672,3948938
2019-06-11,41.892042136,-87.63186395,3948939
