date,lat,lon,ind
2019-06-22,41.888716036,-87.644447853,90
2019-06-22,41.884241,-87.629634,90
2019-06-22,41.879472352,-87.625688606,198
2019-06-22,41.888716036,-87.644447853,198
2019-06-22,41.880317,-87.635185,282
2019-06-22,41.888716036,-87.644447853,282
2019-06-22,41.90345,-87.667747,573
2019-06-22,41.888716036,-87.644447853,573
2019-06-22,41.90345,-87.667747,574
2019-06-22,41.888716036,-87.644447853,574
2019-06-22,41.90345,-87.667747,575
2019-06-22,41.888716036,-87.644447853,575
2019-06-22,41.902973,-87.63128,627
2019-06-22,41.888716036,-87.644447853,627
2019-06-22,41.888716036,-87.644447853,758
2019-06-22,41.880419,-87.655519,758
2019-06-22,41.888716036,-87.644447853,1400
2019-06-22,41.937582316,-87.644097805,1400
2019-06-22,41.888716036,-87.644447853,1448
2019-06-22,41.894722,-87.634362,1448
2019-06-22,41.888716036,-87.644447853,1449
2019-06-22,41.894722,-87.634362,1449
2019-06-22,41.888716036,-87.644447853,1719
2019-06-22,41.889176833,-87.638505772,1719
2019-06-22,41.889176833,-87.638505772,1720
2019-06-22,41.888716036,-87.644447853,1720
2019-06-22,41.888716036,-87.644447853,1834
2019-06-22,41.891578,-87.648384,1834
2019-06-22,41.888716036,-87.644447853,1835
2019-06-22,41.891578,-87.648384,1835
2019-06-22,41.891264346,-87.676842213,1857
2019-06-22,41.888716036,-87.644447853,1857
2019-06-22,41.888716036,-87.644447853,1941
2019-06-22,41.886024,-87.624117,1941
2019-06-22,41.886024,-87.624117,1942
2019-06-22,41.888716036,-87.644447853,1942
2019-06-22,41.906724,-87.63483,1988
2019-06-22,41.888716036,-87.644447853,1988
2019-06-22,41.888716036,-87.644447853,1989
2019-06-22,41.906724,-87.63483,1989
2019-06-22,41.888716036,-87.644447853,2214
2019-06-22,41.882242,-87.641066,2214
2019-06-22,41.882242,-87.641066,2215
2019-06-22,41.888716036,-87.644447853,2215
2019-06-22,41.909396007,-87.677691929,2438
2019-06-22,41.888716036,-87.644447853,2438
2019-06-22,41.888716036,-87.644447853,2707
2019-06-22,41.87785,-87.62408,2707
2019-06-22,41.888716036,-87.644447853,2851
2019-06-22,41.891847372,-87.620580196,2851
2019-06-22,41.888716036,-87.644447853,2879
2019-06-22,41.90068,-87.6626,2879
2019-06-22,41.888716036,-87.644447853,2880
2019-06-22,41.90068,-87.6626,2880
2019-06-22,41.888716036,-87.644447853,2936
2019-06-22,41.881892,-87.648789,2936
2019-06-22,41.888716036,-87.644447853,2937
2019-06-22,41.881892,-87.648789,2937
2019-06-22,41.888716036,-87.644447853,2938
2019-06-22,41.881892,-87.648789,2938
2019-06-22,41.888716036,-87.644447853,2939
2019-06-22,41.881892,-87.648789,2939
2019-06-22,41.888716036,-87.644447853,2940
2019-06-22,41.881892,-87.648789,2940
2019-06-22,41.878118901,-87.643947601,3087
2019-06-22,41.888716036,-87.644447853,3087
2019-06-22,41.897764,-87.642884,3104
2019-06-22,41.888716036,-87.644447853,3104
2019-06-22,41.885483308,-87.652304856,3294
2019-06-22,41.888716036,-87.644447853,3294
2019-06-22,41.885483308,-87.652304856,3295
2019-06-22,41.888716036,-87.644447853,3295
2019-06-22,41.885483308,-87.652304856,3296
2019-06-22,41.888716036,-87.644447853,3296
2019-06-22,41.885483308,-87.652304856,3297
2019-06-22,41.888716036,-87.644447853,3297
2019-06-22,41.885483308,-87.652304856,3298
2019-06-22,41.888716036,-87.644447853,3298
2019-06-22,41.885483308,-87.652304856,3299
2019-06-22,41.888716036,-87.644447853,3299
2019-06-22,41.884678982,-87.627975047,3356
2019-06-22,41.888716036,-87.644447853,3356
2019-06-22,41.89675,-87.63089,3472
2019-06-22,41.888716036,-87.644447853,3472
2019-06-22,41.89675,-87.63089,3473
2019-06-22,41.888716036,-87.644447853,3473
2019-06-22,41.891466,-87.626761,3553
2019-06-22,41.888716036,-87.644447853,3553
2019-06-22,41.898969,-87.629912,3590
2019-06-22,41.888716036,-87.644447853,3590
2019-06-22,41.898417689,-87.686596016,3603
2019-06-22,41.888716036,-87.644447853,3603
2019-06-22,41.909854652,-87.66993016,3611
2019-06-22,41.888716036,-87.644447853,3611
2019-06-22,41.896362458,-87.654061273,3670
2019-06-22,41.888716036,-87.644447853,3670
2019-06-22,41.889187,-87.627754,3759
2019-06-22,41.888716036,-87.644447853,3759
2019-06-22,41.889187,-87.627754,3760
2019-06-22,41.888716036,-87.644447853,3760
2019-06-22,41.915689,-87.6346,3782
2019-06-22,41.888716036,-87.644447853,3782
2019-06-22,41.921525,-87.707322,3867
2019-06-22,41.888716036,-87.644447853,3867
2019-06-22,41.892278,-87.612043,3948
2019-06-22,41.888716036,-87.644447853,3948
2019-06-22,41.888716036,-87.644447853,4115
2019-06-22,41.890762,-87.631697,4115
2019-06-22,41.888716036,-87.644447853,4116
2019-06-22,41.890762,-87.631697,4116
2019-06-22,41.890762,-87.631697,4117
2019-06-22,41.888716036,-87.644447853,4117
2019-06-22,41.890762,-87.631697,4118
2019-06-22,41.888716036,-87.644447853,4118
2019-06-22,41.888716036,-87.644447853,4119
2019-06-22,41.890762,-87.631697,4119
2019-06-22,41.888716036,-87.644447853,4120
2019-06-22,41.890762,-87.631697,4120
2019-06-22,41.888716036,-87.644447853,4272
2019-06-22,41.894556,-87.653449,4272
2019-06-22,41.888716036,-87.644447853,4273
2019-06-22,41.894556,-87.653449,4273
2019-06-22,41.888716036,-87.644447853,4362
2019-06-22,41.912919,-87.664169,4362
2019-06-22,41.883668,-87.64867,4483
2019-06-22,41.888716036,-87.644447853,4483
2019-06-22,41.939398,-87.711561,4499
2019-06-22,41.888716036,-87.644447853,4499
2019-06-22,41.867225957,-87.61535539,4510
2019-06-22,41.888716036,-87.644447853,4510
2019-06-22,41.867225957,-87.61535539,4511
2019-06-22,41.888716036,-87.644447853,4511
2019-06-22,41.888716036,-87.644447853,4553
2019-06-22,41.917741,-87.691392,4553
2019-06-22,41.856268,-87.613348,4611
2019-06-22,41.888716036,-87.644447853,4611
2019-06-22,41.884241,-87.629634,4726
2019-06-22,41.884241,-87.629634,4726
2019-06-22,41.879356359,-87.629791036,5247
2019-06-22,41.884241,-87.629634,5247
2019-06-22,41.879356359,-87.629791036,5248
2019-06-22,41.884241,-87.629634,5248
2019-06-22,41.879356359,-87.629791036,5249
2019-06-22,41.884241,-87.629634,5249
2019-06-22,41.880317,-87.635185,5572
2019-06-22,41.884241,-87.629634,5572
2019-06-22,41.884241,-87.629634,5666
2019-06-22,41.867227,-87.625961,5666
2019-06-22,41.94367,-87.64895,5769
2019-06-22,41.884241,-87.629634,5769
2019-06-22,41.884241,-87.629634,6477
