,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.77,0.77,0.54,0.34,0.41,0.26,-44%,-126%,-88%,-192%
NYCTaxi,0.83,0.83,0.44,0.37,0.82,0.27,-89%,-126%,-2%,-210%
CHIBike,0.53,0.32,0.23,0.28,0.45,0.13,-126%,-16%,-19%,-157%
CHITaxi,0.45,0.47,0.11,0.18,0.15,0.17,-326%,-167%,-204%,-172%
