,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.06,0.08,0.46,0.15,0.72,0.12,86%,49%,91%,37%
NYCTaxi,0.09,0.11,0.53,0.14,0.83,0.15,83%,22%,89%,28%
CHIBike,0.14,0.16,0.29,0.25,0.56,0.26,51%,35%,75%,38%
CHITaxi,0.08,0.09,0.39,0.11,0.79,0.13,80%,21%,90%,30%
