,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
0,0.05,0.04,0.07,0.09,0.16,0.11,33%,55%,71%,65%
1,0.05,0.12,0.11,0.08,0.47,0.05,53%,-59%,89%,-145%
2,0.06,0.09,0.04,0.12,0.08,0.1,-40%,28%,27%,12%
3,0.03,0.03,0.08,0.08,0.22,0.05,61%,62%,87%,42%
