,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.06,0.08,0.45,0.63,86%,88%
NYCTaxi,0.09,0.11,0.37,0.59,76%,82%
CHIBike,0.14,0.16,0.4,0.56,64%,71%
CHITaxi,0.08,0.09,0.37,0.55,79%,84%
