,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.3,0.31,0.46,0.2,0.8,0.24,35%,-61%,62%,-32%
NYCTaxi,0.22,0.19,0.13,0.14,0.83,0.38,-69%,-32%,73%,50%
CHIBike,0.14,0.11,0.56,0.54,0.35,0.2,75%,80%,61%,45%
CHITaxi,0.21,0.24,0.15,0.13,0.4,0.37,-35%,-79%,48%,35%
