,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.18,0.11,0.25,0.48,28%,77%
NYCTaxi,0.06,0.08,0.11,0.28,47%,72%
CHIBike,0.06,0.12,0.22,0.57,72%,80%
CHITaxi,0.12,0.05,0.15,0.34,22%,85%
