,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.4,0.36,0.55,0.3,0.7,0.28,27%,-21%,43%,-31%
NYCTaxi,0.73,0.57,0.35,0.24,0.83,0.2,-109%,-134%,12%,-187%
CHIBike,0.22,0.17,0.34,0.3,0.37,0.26,34%,42%,39%,34%
CHITaxi,0.17,0.12,0.36,0.12,0.49,0.13,52%,-3%,65%,6%
