,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.31,0.28,0.22,0.53,-41%,47%
NYCTaxi,0.69,0.52,0.19,0.4,-254%,-30%
CHIBike,0.17,0.16,0.22,0.66,23%,76%
CHITaxi,0.12,0.08,0.31,0.7,60%,88%
