,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.06,0.08,0.26,0.44,76%,82%
NYCTaxi,0.06,0.1,0.12,0.25,52%,60%
CHIBike,0.07,0.11,0.24,0.55,70%,80%
CHITaxi,0.05,0.07,0.15,0.29,64%,76%
