,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.74,0.75,0.21,0.55,0.45,0.25,-254%,-37%,-64%,-202%
NYCTaxi,0.83,0.83,0.42,0.41,0.79,0.57,-96%,-100%,-4%,-46%
CHIBike,0.4,0.36,0.16,0.2,0.32,0.06,-151%,-83%,-25%,-462%
CHITaxi,0.3,0.42,0.16,0.1,0.24,0.11,-85%,-326%,-28%,-269%
