,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
0,0.06,0.08,0.14,0.33,0.36,0.51,59%,75%,84%,84%
1,0.05,0.09,0.14,0.39,0.49,0.7,67%,77%,90%,87%
2,0.06,0.11,0.12,0.22,0.26,0.22,51%,53%,78%,51%
3,0.07,0.08,0.05,0.19,0.36,0.15,-42%,60%,80%,48%
