,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.04,0.06,0.13,0.11,0.18,0.04,70%,45%,78%,-42%
NYCTaxi,0.05,0.1,0.12,0.06,0.34,0.11,60%,-56%,86%,16%
CHIBike,0.07,0.09,0.15,0.15,0.13,0.1,55%,41%,50%,8%
CHITaxi,0.04,0.06,0.07,0.1,0.32,0.14,47%,42%,88%,57%
