,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.06,0.12,0.62,0.79,90%,85%
NYCTaxi,0.1,0.08,0.45,0.53,78%,85%
CHIBike,0.08,0.11,0.48,0.47,84%,76%
CHITaxi,0.07,0.1,0.38,0.44,81%,78%
