,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.04,0.06,0.25,0.59,84%,90%
NYCTaxi,0.06,0.09,0.21,0.64,71%,85%
CHIBike,0.07,0.09,0.28,0.62,74%,86%
CHITaxi,0.04,0.05,0.19,0.47,82%,90%
