,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.29,0.27,0.49,0.26,0.46,0.16,41%,-4%,36%,-72%
NYCTaxi,0.68,0.55,0.23,0.24,0.83,0.16,-193%,-126%,18%,-250%
CHIBike,0.18,0.17,0.24,0.24,0.34,0.07,24%,31%,47%,-141%
CHITaxi,0.08,0.12,0.32,0.13,0.45,0.15,76%,10%,82%,24%
