,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.31,0.28,0.5,0.23,0.62,0.15,0.38,-0.21,0.5,-0.84
NYCTaxi,0.69,0.52,0.18,0.25,0.83,0.16,-2.75,-1.08,0.17,-2.28
CHIBike,0.17,0.16,0.33,0.23,0.33,0.2,0.5,0.32,0.49,0.2
CHITaxi,0.12,0.08,0.28,0.12,0.48,0.18,0.56,0.29,0.74,0.53
