,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.18,0.11,0.44,0.25,0.36,0.52,60%,56%,50%,78%
NYCTaxi,0.06,0.08,0.05,0.1,0.13,0.82,-10%,22%,56%,90%
CHIBike,0.06,0.12,0.35,0.21,0.28,0.21,82%,45%,78%,45%
CHITaxi,0.12,0.05,0.11,0.13,0.23,0.23,-7%,62%,49%,78%
