,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.46,0.49,0.45,0.34,0.8,0.29,-1%,-43%,43%,-67%
NYCTaxi,0.69,0.59,0.18,0.29,0.81,0.16,-279%,-103%,15%,-274%
CHIBike,0.26,0.24,0.34,0.33,0.55,0.33,24%,28%,53%,30%
CHITaxi,0.16,0.12,0.16,0.15,0.54,0.1,-5%,22%,70%,-22%
