,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.77,0.77,0.19,0.36,-315%,-113%
NYCTaxi,0.83,0.83,0.13,0.32,-547%,-163%
CHIBike,0.53,0.32,0.18,0.45,-198%,27%
CHITaxi,0.45,0.47,0.09,0.4,-418%,-19%
