,MoGAN1,MoGAN2,Random W1,Random W 2,Random1,Random2,delta1,delta2,delta3,delta4
NYCBike,0.06,0.08,0.45,0.63,0.83,0.69,86%,88%,93%,89%
NYCTaxi,0.09,0.11,0.37,0.59,0.83,0.81,76%,82%,89%,87%
CHIBike,0.14,0.16,0.4,0.56,0.83,0.76,64%,71%,83%,79%
CHITaxi,0.08,0.09,0.37,0.55,0.83,0.72,79%,84%,90%,88%
