,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.04,0.05,0.69,0.22,0.66,0.25,94%,76%,94%,79%
NYCTaxi,0.05,0.09,0.49,0.14,0.77,0.42,90%,32%,94%,78%
CHIBike,0.06,0.07,0.29,0.15,0.31,0.42,80%,52%,82%,83%
CHITaxi,0.05,0.06,0.4,0.18,0.74,0.21,89%,66%,94%,71%
