,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.3,0.31,0.24,0.21,-27%,-47%
NYCTaxi,0.22,0.19,0.13,0.26,-65%,28%
CHIBike,0.14,0.11,0.15,0.2,11%,44%
CHITaxi,0.21,0.24,0.11,0.28,-87%,14%
