,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.74,0.75,0.17,0.19,-325%,-295%
NYCTaxi,0.83,0.83,0.1,0.17,-760%,-377%
CHIBike,0.4,0.36,0.2,0.45,-96%,19%
CHITaxi,0.3,0.42,0.16,0.38,-89%,-10%
