,MoGAN1,MoGAN2,Gravity1,Gravity2,Radiation1,Radiation2,delta1,delta2,delta3,delta4
NYCBike,0.04,0.06,0.12,0.12,0.25,0.07,67%,49%,84%,13%
NYCTaxi,0.06,0.09,0.17,0.03,0.64,0.05,64%,-213%,90%,-82%
CHIBike,0.07,0.09,0.2,0.22,0.21,0.1,64%,60%,66%,11%
CHITaxi,0.04,0.05,0.07,0.09,0.42,0.09,49%,47%,92%,48%
