,MoGAN1,MoGAN2,Random W1,Random W 2,delta1,delta2
NYCBike,0.29,0.27,0.22,0.5,-30%,45%
NYCTaxi,0.68,0.55,0.19,0.38,-256%,-43%
CHIBike,0.18,0.17,0.22,0.63,17%,74%
CHITaxi,0.08,0.12,0.29,0.71,73%,84%
